Concentration,Wavelength,Transmittance,Absorbance
1 mcg,375.0004,0.9154336244301642,0.03837313971701356
1 mcg,375.23370000000006,0.9193135514974595,0.0365363379500928
1 mcg,375.46700000000004,0.9013358664024411,0.04511334692892141
1 mcg,375.7003,0.8963652192839264,0.047515003281684925
1 mcg,375.9336,0.9078143773912946,0.04200294345673135
1 mcg,376.16690000000006,0.8554282423915855,0.06781641539281182
1 mcg,376.40020000000004,0.8329720521299766,0.07936956979291258
1 mcg,376.6335,0.8745188090489041,0.058230845329612375
1 mcg,376.8668,0.865372907153729,0.0627967056912813
1 mcg,377.10010000000005,0.8971248358579617,0.047147120220113026
1 mcg,377.33340000000004,0.9187381351200447,0.03680825649024196
1 mcg,377.5667,0.9379535046557458,0.027818689522770865
1 mcg,377.8,0.9616609392898053,0.01697802375363872
1 mcg,378.03330000000005,0.9403168846577903,0.02672576547833664
1 mcg,378.26660000000004,0.9050629447181172,0.043321215719515686
1 mcg,378.4999,0.9095742890795896,0.04116182434129078
1 mcg,378.7332,0.8778967867575461,0.05655654055922814
1 mcg,378.96650000000005,0.8524609906796524,0.06932548555563255
1 mcg,379.19980000000004,0.8661322175910399,0.062415806611744694
1 mcg,379.4331,0.8934652991787463,0.04892231016207432
1 mcg,379.6664,0.8773044403558155,0.056849672514059785
1 mcg,379.89970000000005,0.8796296296296297,0.05570015019810193
1 mcg,380.13300000000004,0.8788698049194229,0.05607545620379
1 mcg,380.3663,0.8602716909873066,0.06536436821899817
1 mcg,380.5996,0.8440834128959215,0.07361463397809828
1 mcg,380.83290000000005,0.8835715022839233,0.053758299817832214
1 mcg,381.06620000000004,0.8868418337704365,0.052153828697896934
1 mcg,381.2995,0.8791265253692997,0.055948616035076545
1 mcg,381.5328,0.8886562464494976,0.05126620206794609
1 mcg,381.76610000000005,0.8430820480293724,0.07413015814813521
1 mcg,381.99940000000004,0.849610873616135,0.07077993797486314
1 mcg,382.2327,0.9165665894239498,0.03783597765338748
1 mcg,382.466,0.9323366537132254,0.030427241669446787
1 mcg,382.69930000000005,0.9324993003078645,0.030351485387958392
1 mcg,382.93260000000004,0.9148204632043858,0.03866412942017456
1 mcg,383.1659,0.9102176738141651,0.04085473599569251
1 mcg,383.3992,0.9060639612317272,0.042841143350213926
1 mcg,383.63250000000005,0.8384620327940167,0.0765165983189237
1 mcg,383.86580000000004,0.8311111111111111,0.0803409115748635
1 mcg,384.0991,0.9024395653138167,0.044581872335925664
1 mcg,384.3324,0.9060647057841025,0.04284078647159491
1 mcg,384.56570000000005,0.8796198970112015,0.055704955454450006
1 mcg,384.79900000000004,0.8955942859288584,0.047888685970053475
